Potential/V,Current(i/A)
0.496,8.83E-07
0.492,8.87E-07
0.488,8.78E-07
0.484,8.72E-07
0.48,8.65E-07
0.476,8.57E-07
0.472,8.51E-07
0.468,8.45E-07
0.464,8.39E-07
0.46,8.33E-07
0.456,8.29E-07
0.452,8.26E-07
0.448,8.22E-07
0.444,8.18E-07
0.44,8.16E-07
0.436,8.13E-07
0.432,8.12E-07
0.428,8.09E-07
0.424,8.09E-07
0.42,8.08E-07
0.416,8.10E-07
0.412,8.09E-07
0.408,8.10E-07
0.404,8.12E-07
0.4,8.14E-07
0.396,8.16E-07
0.392,8.21E-07
0.388,8.25E-07
0.384,8.31E-07
0.38,8.36E-07
0.376,8.45E-07
0.372,8.53E-07
0.368,8.65E-07
0.364,8.77E-07
0.36,8.92E-07
0.356,9.09E-07
0.352,9.29E-07
0.348,9.52E-07
0.344,9.78E-07
0.34,1.01E-06
0.336,1.04E-06
0.332,1.08E-06
0.328,1.13E-06
0.324,1.18E-06
0.32,1.24E-06
0.316,1.31E-06
0.312,1.39E-06
0.308,1.48E-06
0.304,1.58E-06
0.3,1.70E-06
0.296,1.83E-06
0.292,1.99E-06
0.288,2.15E-06
0.284,2.34E-06
0.28,2.55E-06
0.276,2.79E-06
0.272,3.04E-06
0.268,3.32E-06
0.264,3.62E-06
0.26,3.93E-06
0.256,4.27E-06
0.252,4.61E-06
0.248,4.97E-06
0.244,5.32E-06
0.24,5.67E-06
0.236,6.01E-06
0.232,6.32E-06
0.228,6.60E-06
0.224,6.84E-06
0.22,7.04E-06
0.216,7.18E-06
0.212,7.28E-06
0.208,7.31E-06
0.204,7.28E-06
0.2,7.19E-06
0.196,7.05E-06
0.192,6.86E-06
0.188,6.62E-06
0.184,6.34E-06
0.18,6.04E-06
0.176,5.73E-06
0.172,5.38E-06
0.168,5.04E-06
0.164,4.70E-06
0.16,4.37E-06
0.156,4.05E-06
0.152,3.74E-06
0.148,3.46E-06
0.144,3.20E-06
0.14,2.95E-06
0.136,2.73E-06
0.132,2.52E-06
0.128,2.33E-06
0.124,2.17E-06
0.12,2.02E-06
0.116,1.89E-06
0.112,1.77E-06
0.108,1.66E-06
0.104,1.57E-06
0.1,1.48E-06
0.096,1.41E-06
0.092,1.34E-06
0.088,1.29E-06
0.084,1.23E-06
0.08,1.19E-06
0.076,1.15E-06
0.072,1.11E-06
0.068,1.08E-06
0.064,1.05E-06
0.06,1.03E-06
0.056,1.01E-06
0.052,9.86E-07
0.048,9.68E-07
0.044,9.53E-07
0.04,9.39E-07
0.036,9.29E-07
0.032,9.18E-07
0.028,9.09E-07
0.024,9.01E-07
0.02,8.94E-07
0.016,8.89E-07
0.012,8.84E-07
0.008,8.80E-07
0.004,8.78E-07
0,8.75E-07
-0.004,8.73E-07
-0.008,8.72E-07
-0.012,8.71E-07
-0.016,8.70E-07
-0.02,8.71E-07
-0.024,8.70E-07
-0.028,8.73E-07
-0.032,8.73E-07
-0.036,8.74E-07
-0.04,8.74E-07
-0.044,8.76E-07
-0.048,8.78E-07
-0.052,8.79E-07
-0.056,8.82E-07
-0.06,8.84E-07
-0.064,8.85E-07
-0.068,8.89E-07
-0.072,8.90E-07
-0.076,8.92E-07
-0.08,8.94E-07
-0.084,8.96E-07
-0.088,8.98E-07
-0.092,9.03E-07
-0.096,9.06E-07
-0.1,9.09E-07
